Release Year,Title,Origin/Ethnicity,Director,Cast,Genre,Plot
1907,Daniel Boone,American,"Wallace McCutcheon,Ediwin S. Porter","William Craven,Florence Lawrence",Biographical,"Boone's daughter befriends an Indian maiden as Boone and his companion start out on a hunting expedition. While he is away, Boone's cabin is attacked by the Indians, who set it on fire and abduct Boone's daughter. Boone returns, swears vengeance, then heads out on the trail to the Indian camp. His daughter escapes but is chased. The Indians encounter Boone, which sets off a huge fight on the edge of a cliff. A burning arrow gets shot into the Indian camp. Boone gets tied to the stake and tortured. The burning arrow sets the Indian camp on fire, causing panic. Boone is rescued by his horse, and Boone has a knife fight in which he kills the Indian chief.[2]"
1907,Laughing Gas,American,Edwin Stanton Porter,"Bertha Regustus,Edward Boulden",Comedy,"The plot is that of a black woman going to the dentist for a toothache and being given laughing gas. On her way walking home, and in other situations, she can't stop laughing, and everyone she meets ""catches"" the laughter from her, including a vendor and police officers."
1908,The Adventures of Dollie,American,D. W. Griffith,"Arthur V. Johnson,Linda Arvidson",Drama,"On a beautiful summer day a father and mother take their daughter Dollie on an outing to the river. The mother refuses to buy a gypsy's wares. The gypsy tries to rob the mother, but the father drives him off. The gypsy returns to the camp and devises a plan. They return and kidnap Dollie while her parents are distracted. A rescue crew is organized, but the gypsy takes Dollie to his camp. They gag Dollie and hide her in a barrel before the rescue party gets to the camp. Once they leave the gypsies and escapes in their wagon. As the wagon crosses the river, the barrel falls into the water. Still sealed in the barrel, Dollie is swept downstream in dangerous currents. A boy who is fishing in the river finds the barrel, and Dollie is reunited safely with her parents."
1908,The Black Viper,American,D. W. Griffith,D. W. Griffith,Drama,"A thug accosts a girl as she leaves her workplace but a man rescues her. The thug vows revenge and, with the help of two friends, attacks the girl and her rescuer again as they're going for a walk. This time they succeed in kidnapping the rescuer. He is bound and gagged and taken away in a cart. The girl runs home and gets help from several neighbors. They track the ruffians down to a cabin in the mountains where the gang has trapped their victim and set the cabin on fire. A thug and Rescuer fight on the roof of the house."
1908,A Calamitous Elopement,American,D.W. Griffith,"Harry Solter,Linda Arvidson",Comedy,"A young couple decides to elope after being caught in the midst of a romantic moment by the woman's angry father. They make plans to leave, but a thief discovers their plans and hides in their trunk and waits for the right moment to steal their belongings."
1908,The Call of the Wild,American,D. W. Griffith,Charles Inslee,"Action,Adventure","A white girl (Florence Lawrence) rejects a proposal from an Indian brave (Charles Inslee) in this early one-reel Western melodrama. Despite the rejection, the Indian still comes to the girl's defense when she is abducted by his warring tribe. In her first year in films, Florence Lawrence was already the most popular among the Biograph Company's anonymous stock company players. By 1909, she was known the world over as ""The Biograph Girl."""
1908,The Fight for Freedom,American,D. W. Griffith,"Florence Auer,John G. Adolfi",Western,"The film opens in a town on the Mexican border. A poker game is going on in the local saloon. One of the players cheats and is shot dead by another of the players, a Mexican named Pedro. In the uproar that follows Pedro is wounded as he escapes from the saloon. The sheriff is called, who tracks Pedro to his home but Pedro kills the sherriff too. While Pedro hides, his wife Juanita, is arrested on suspicion of murdering the sheriff. Pedro rescues her from the town jail and the two head for the Mexican border. Caught by the posse before they reach the border, Juanita is killed and the film ends with Pedro being arrested and taken back to town."
1909,At the Altar,American,D. W. Griffith,Marion Leonard,Drama,"A rejected admirer sets up a trap to kill his sweetheart and her fiance before they married and then commit suicide, but before he passes away, he leaves a confession. Fortunately the confession is found on time and a police man runs to the church to save the couple."
1909,A Drunkard's Reformation,American,D. W. Griffith,Arthur V. Johnson,Drama,"John Wharton, the husband of a true and trusting wife and father of an eight-year-old girl, through the association of rakish companions becomes addicted to the drink habit, and while the demon rum has not fastened its tentacles firmly, there is no question that given free rein the inevitable would culminate in time. Arriving home one afternoon in a wine besotted condition, he is indeed a terrifying spectacle to his little family. Later, after he has slept off the effects to some extent, while at supper, the little girl shows him two tickets for the theater, begging him to take her. After some persuasion he consents to go. The play is a dramatization of  mile Zola's L'Assommoir, which shows how short a journey it is from peace and happiness to woe and despair by the road of rum. At the final curtain of the play, he is a changed man, going homeward with a firm determination that he will drink no more, which he promises his wife upon his return. Two years later we find the little family seated, happy and peaceful, at the fireside and we know that the promise has been kept."
1910,An Arcadian Maid,American,D.W. Griffith,"Mary Pickford,Mack Sennett",Drama,Mary Pickford plays Priscilla an unemployed maid who finds work at a farm. There she meets a no-good peddler who starts flirting with her and makes her fall in love with him. He runs up a gambling bill and asks her to help him pay his debts or he won't be able to marry her.[1]
